TA,Drug,Drug.generic,Primary.therapeutic.area,Primary.disease,Route,Budget.impact,Cost.min,Cost.effectiveness,high.unmet.need.,STA.type...PBAC.,Eligible.patient.count,G.BA.Assessment.Date..new.,PBAC.decision.date,time.from.GBA.to.PBS.listing,First.listing.date...edited..new.
Respiratory,Arnuity Ellipta,fluticasone furoate,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,No,No,Original,NA,39508,42311,-,indication not listed
Endocrine and metabolic diseases,Atozet Composite Pack,atorvastatin + ezetimibe,Endocrine and metabolic diseases,Dyslipidemia,0,Any,No,No,No,Original,NA,-,41946,-,indication not listed
Demyelinating disorders,Avonex,interferon beta-1a,Central nervous system,Demyelinating disorders,0,Any,No,No,No,Extension of indication,NA,-,41754,-,indication not listed
Renal cancer,Bavencio,avelumab,Oncology,Renal cancer,Parenteral,Any,No,No,No,Extension of indication,NA,43800,43945,-,indication not listed
Blood Cancer,Besponsa,inotuzumab ozogamicin,Oncology,Leukemia,Parenteral,Any,No,No,Yes,Extension of indication,NA,42917,43630,-,indication not listed
Skin cancer,"Braftovi, Mektovi","encorafenib, binimetinib",Oncology,Skin cancer,Oral,Any,Yes,No,No,Original,NA,-,43448,-,indication not listed
Respiratory,Breo Ellipta,fluticasone furoate + vilanterol,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,No,No,Original,NA,41640,41754,-,indication not listed
Convulsions,Briviact,brivaracetam,Central nervous system,Convulsions,Oral,Any,No,No,Yes,Extension of indication,NA,42401,43819,-,indication not listed
Epilepsy,Briviact,brivaracetam,Central nervous system,Epilepsy,Oral,Any,Yes,No,No,Original,NA,42401,42601,-,indication not listed
Endocrine and metabolic diseases,Bronchitol,mannitol,Endocrine and metabolic diseases,Cystic fibrosis,Inhalation,Any,No,Yes,No,Extension of indication,NA,-,42965,-,indication not listed
Endocrine and metabolic diseases,Bronchitol,mannitol,Endocrine and metabolic diseases,Cystic fibrosis,Inhalation,Any,No,No,No,Original,NA,-,42186,-,indication not listed
Liver cancer,Cabometyx,cabozantinib,Oncology,Liver cancer,Oral,Any,No,Yes,No,Extension of indication,NA,43435,43700,-,indication not listed
Renal cancer,Cabometyx,cabozantinib,Oncology,Renal cancer,Oral,Any,Yes,Yes,No,Extension of indication,NA,42675,43581,-,indication not listed
Endocrine and metabolic diseases,Cal-500,calcium carbonate,Endocrine and metabolic diseases,Mineral disorders,0,Any,No,No,No,Original,NA,-,41754,-,indication not listed
Blood Cancer,Calquence,acalabrutinib,Oncology,Leukemia,Oral,Any,Yes,No,No,Original,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,Carbaglu,carglumic acid,Endocrine and metabolic diseases,Aminoacid disorders,Oral,Any,No,Yes,No,Original,NA,-,42186,-,indication not listed
Endocrine and metabolic diseases,Cerdelga,eliglustat,Endocrine and metabolic diseases,Sphingolipid-related disorders,Oral,Any,Yes,No,No,Original,NA,42095,42186,-,indication not listed
Endocrine and metabolic diseases,Claris Lifesciences Zoledronic Acid,zoledronic acid,Endocrine and metabolic diseases,Mineral disorders,Parenteral,Any,No,No,No,Original,NA,37012,43329,-,indication not listed
Cardiovascular,Clexane,enoxaparin,Cardiovascular,Embolism and thrombosis,Parenteral,Any,No,No,No,Original,NA,-,43581,-,indication not listed
Demyelinating disorders,Copaxone,glatiramer acetate,Central nervous system,Demyelinating disorders,Parenteral,Any,No,Yes,No,Extension of indication,NA,-,42965,-,indication not listed
Cardiovascular,Coralan,ivabradine,Cardiovascular,Heart failure,Oral,Any,No,No,No,Extension of indication,NA,-,42065,-,indication not listed
Skin cancer,"Cotellic, Zelboraf","cobimetinib, vemurafenib",Oncology,Skin cancer,Oral,Any,Yes,No,No,Original,NA,-,42552,-,indication not listed
Gastric cancer,Cyramza,ramucirumab,Oncology,Gastric cancer,Parenteral,Any,No,Yes,No,Original,NA,42036,43210,-,indication not listed
Endocrine and metabolic diseases,Cystadane,betaine,Endocrine and metabolic diseases,Aminoacid disorders,0,Any,No,No,No,Original,NA,-,41754,-,indication not listed
Derm,Daivobet,"calcipotriol, combinations",Skin,Psoriasis,Transdermal,Any,No,No,No,Original,NA,-,41579,-,indication not listed
Derm,Daivobet,"calcipotriol, combinations",Skin,Psoriasis,Transdermal,Any,No,No,No,Original,NA,-,41334,-,indication not listed
Blood Cancer,Darzalex,daratumumab,Oncology,Plasmocytoma,Parenteral,Any,No,Yes,No,Original,NA,42522,43084,-,indication not listed
Endocrine and metabolic diseases,Diabex XR,metformin,Endocrine and metabolic diseases,Diabetes,Oral,Any,No,No,No,Original,NA,-,41610,-,indication not listed
Derm,Dupixent,dupilumab,Skin,Dermatitis and eczema,Parenteral,Any,No,Yes,No,Original,NA,43070,43329,-,indication not listed
Migraine,Emgality,galcanezumab,Central nervous system,Migraine,Parenteral,Any,Yes,No,No,Original,NA,43556,43700,-,indication not listed
Endocrine and metabolic diseases,"empagliflozin (INN), metformin (INN), Synjardy","empagliflozin, metformin, empagliflozin + metformin",Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,-,42433,-,indication not listed
Prostate cancer,Erlyand,apalutamide,Oncology,Prostate cancer,Oral,Any,No,Yes,No,Original,NA,43497,43448,-,indication not listed
Uterine cancer,Esmya,ulipristal,Oncology,Uterine cancer,Oral,Any,Yes,No,No,Original,NA,-,42601,-,indication not listed
Endocrine and metabolic diseases,Forxiga,dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,No,No,No,Original,10000,43647,42065,-,indication not listed
Endocrine and metabolic diseases,Forxiga,dapagliflozin,Endocrine and metabolic diseases,Diabetes,0,Any,No,No,No,Extension of indication,10000,43586,41821,-,indication not listed
Blood and immune system,Fulphila,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,Any,Yes,No,No,Original,NA,-,43329,-,indication not listed
Convulsions,Fycompa,perampanel,Central nervous system,Convulsions,Oral,Any,No,Yes,No,Original,NA,41153,42601,-,indication not listed
Endocrine and metabolic diseases,Galvumet,metformin + vildagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,-,41487,-,indication not listed
Endocrine and metabolic diseases,Galvus,vildagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,39356,41487,-,indication not listed
Lung cancer,Giotrif,afatinib,Oncology,Lung cancer,Oral,Any,No,Yes,No,Original,NA,41579,41486,-,indication not listed
Lung cancer,Giotrif,afatinib,Oncology,Lung cancer,Oral,Any,Yes,No,No,Original,NA,41579,41486,-,indication not listed
Sarcoma,Glivec,imatinib,Oncology,Sarcoma,Oral,Any,No,No,No,Extension of indication,NA,-,42065,-,indication not listed
Angiomyolipoma,Hemangiol,propranolol,Oncology,Angiomyolipoma,Oral,Any,No,No,No,Original,NA,-,42065,-,indication not listed
Breast cancer,Herzuma,trastuzumab,Oncology,Breast cancer,Parenteral,Any,No,No,No,Original,NA,-,43700,-,indication not listed
NA,Humira,adalimumab,Skin,Follicular disorders,Parenteral,Any,No,Yes,No,Extension of indication,NA,-,42720,-,indication not listed
Derm,Humira,adalimumab,Skin,Psoriasis,Parenteral,Any,No,Yes,No,Extension of indication,NA,-,41334,-,indication not listed
Blood and immune system,Ilaris,canakinumab,Blood and immune system,Cryopyrin-associated periodic syndrome (CAPS),Parenteral,Any,Yes,No,No,Extension of indication,NA,-,43040,-,indication not listed
Urothelial tract (UT) cancer,Imfinzi,durvalumab,Oncology,Urothelial tract (UT) cancer,Parenteral,Any,Yes,No,No,Extension of indication,NA,43374,43700,-,indication not listed
Skin cancer,Imlygic,talimogene laherparepvec (t-vec),Oncology,Skin cancer,Parenteral,Any,Yes,No,No,Original,NA,42522,42601,-,indication not listed
Respiratory,Inspiolto Respimat,tiotropium + olodaterol,Respiratory,Obstructive respiratory disorders,Inhalation,Any,Yes,No,No,Original,NA,42217,42186,-,indication not listed
Blood Cancer,Istodax,romidepsin,Oncology,Lymphoma,Parenteral,Any,No,Yes,No,Original,NA,-,42720,-,indication not listed
Polycythemia,Jakavi,ruxolitinib,Oncology,Polycythemia,Oral,Any,No,Yes,No,Extension of indication,NA,42095,43819,-,indication not listed
Blood and immune system,Jakavi,ruxolitinib,Blood and immune system,Splenomegaly,0,Any,No,Yes,No,Original,100000,41760,41456,-,indication not listed
Endocrine and metabolic diseases,Janumet,metformin + sitagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,39661,41610,-,indication not listed
Endocrine and metabolic diseases,"Janumet, Januvia","metformin + sitagliptin, sitagliptin",Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Extension of indication,NA,-,42186,-,indication not listed
Endocrine and metabolic diseases,"Janumet, Januvia, Segluromet, Steglatro, Steglujan","metformin + sitagliptin, sitagliptin, ertugliflozin + metformin, ertugliflozin, ertugliflozin + sitagliptin",Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,-,43329,-,indication not listed
Endocrine and metabolic diseases,Jardiance,empagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,42430,42433,-,indication not listed
Endocrine and metabolic diseases,Jentadueto,metformin + linagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,100000,-,41334,-,indication not listed
Endocrine and metabolic diseases,Kalydeco,ivacaftor,Endocrine and metabolic diseases,Cystic fibrosis,Oral,Any,No,No,No,Extension of indication,10000,43709,43581,-,indication not listed
Breast cancer,Kanjinti,trastuzumab,Oncology,Breast cancer,Parenteral,Any,No,No,No,Original,NA,-,43700,-,indication not listed
Skin cancer,Keytruda,pembrolizumab,Oncology,Skin cancer,Parenteral,Any,Yes,No,No,Extension of indication,NA,43556,43945,-,indication not listed
Colorectal cancer,Keytruda,pembrolizumab,Oncology,Colorectal cancer,Parenteral,Any,No,Yes,No,Extension of indication,NA,42217,43581,-,indication not listed
Blood Cancer,Keytruda,pembrolizumab,Oncology,Lymphoma,Parenteral,Any,No,Yes,No,Extension of indication,NA,42217,43448,-,indication not listed
Head and neck cancer,Keytruda,pembrolizumab,Oncology,Head and neck cancer,Parenteral,Any,Yes,No,No,Extension of indication,NA,43800,43329,-,indication not listed
Bladder cancer,Keytruda,pembrolizumab,Oncology,Bladder cancer,Parenteral,Any,No,Yes,No,Extension of indication,NA,42217,43084,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,No,No,No,Extension of indication,100000,41214,42186,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,100000,41214,41579,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Extension of indication,100000,41214,41365,-,indication not listed
Endocrine and metabolic diseases,Kombiglyze,metformin + saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,100000,41214,41334,-,indication not listed
Renal cancer,Lenvima,lenvatinib,Oncology,Renal cancer,Oral,Any,No,Yes,No,Extension of indication,NA,42644,43084,-,indication not listed
Prostate cancer,Lerin,leuprorelin,Oncology,Prostate cancer,Implant,Any,Yes,No,No,Original,NA,-,43700,-,indication not listed
Lung cancer,Lorviqua,lorlatinib,Oncology,Lung cancer,Oral,Any,Yes,No,Yes,Original,NA,-,43819,-,indication not listed
Endocrine and metabolic diseases,Lucentis,ranibizumab,Endocrine and metabolic diseases,Diabetes,Ophthalmic,Any,No,Yes,No,Extension of indication,NA,-,41334,-,indication not listed
Fallopian cancer,Lynparza,olaparib,Oncology,Fallopian cancer,Oral,Any,No,Yes,No,Extension of indication,NA,43252,43819,-,indication not listed
Endocrine and metabolic diseases,Lyxumia,lixisenatide,Endocrine and metabolic diseases,Diabetes,Parenteral,Any,Yes,No,No,Original,NA,-,41852,-,indication not listed
Demyelinating disorders,Mayzent,siponimod,Central nervous system,Demyelinating disorders,Oral,Any,No,Yes,No,Original,NA,-,43819,-,indication not listed
Skin cancer,Mekinist,trametinib,Oncology,Skin cancer,Oral,Any,No,Yes,No,Original,NA,42278,41754,-,indication not listed
Skin cancer,"Mekinist, Tafinlar","trametinib, dabrafenib",Oncology,Skin cancer,Oral,Any,No,Yes,No,Extension of indication,NA,43374,43581,-,indication not listed
Breast cancer,Nerlynx,neratinib maleate,Oncology,Breast cancer,Oral,Any,No,Yes,No,Original,NA,43800,43581,-,indication not listed
Blood and immune system,Neulasta,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,Any,No,Yes,No,Original,NA,-,42965,-,indication not listed
Respiratory,Nucala,mepolizumab,Respiratory,Obstructive respiratory disorders,Parenteral,Any,No,No,No,Extension of indication,NA,42401,43084,-,indication not listed
Breast cancer,Ogivri,trastuzumab,Oncology,Breast cancer,Parenteral,Any,No,No,No,Original,NA,-,43581,-,indication not listed
Endocrine and metabolic diseases,Omnitrope,somatropin,Endocrine and metabolic diseases,Pituitary gland disorders,0,Any,No,No,No,Original,NA,-,41754,-,indication not listed
Endocrine and metabolic diseases,Onglyza,saxagliptin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Extension of indication,NA,41365,42186,-,indication not listed
Pancreatic cancer,Onivyde,irinotecan,Oncology,Pancreatic cancer,Parenteral,Any,No,Yes,No,Original,NA,-,42720,-,indication not listed
Breast cancer,Ontruzant,trastuzumab,Oncology,Breast cancer,Parenteral,Any,No,No,No,Original,NA,-,43581,-,indication not listed
Renal cancer,"Opdivo, Yervoy","nivolumab, ipilimumab",Oncology,Renal cancer,Parenteral,Any,No,Yes,No,Extension of indication,NA,-,43329,-,indication not listed
Skin cancer,"Opdivo, Yervoy","nivolumab, ipilimumab",Oncology,Skin cancer,Parenteral,Any,No,Yes,No,Original,NA,-,42326,-,indication not listed
ENT,Oralair,allergen extract,ENT,Rhinitis,Sublingual/buccal/oromucosal,Any,No,Yes,No,Original,NA,-,42601,-,indication not listed
Derm,Otezla,apremilast,Skin,Psoriasis,Oral,Any,Yes,Yes,No,Original,NA,42036,42088,-,indication not listed
Endocrine and metabolic diseases,Ozempic,semaglutide,Endocrine and metabolic diseases,Diabetes,Parenteral,Any,No,Yes,No,Original,NA,43405,43819,-,indication not listed
Blood and immune system,Pelgraz,pegfilgrastim,Blood and immune system,Neutrophils-related disorders,Parenteral,Any,Yes,No,No,Original,NA,-,43945,-,indication not listed
Breast cancer,Perjeta,pertuzumab,Oncology,Breast cancer,Parenteral,Any,No,No,No,Extension of indication,NA,43282,43945,-,indication not listed
Breast cancer,Perjeta,pertuzumab,Oncology,Breast cancer,Parenteral,Any,No,Yes,No,Extension of indication,NA,43282,43329,-,indication not listed
Breast cancer,Perjeta,pertuzumab,Oncology,Breast cancer,Parenteral,Any,No,Yes,No,Original,NA,41365,41699,-,indication not listed
Blood Cancer,Polivy,polatuzumab vedotin,Oncology,Lymphoma,Parenteral,Any,No,Yes,No,Original,NA,-,43819,-,indication not listed
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,Any,Yes,No,No,Extension of indication,NA,41518,43700,-,indication not listed
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,Any,No,No,No,Original,NA,41518,42846,-,indication not listed
Blood Cancer,Pomalyst,pomalidomide,Oncology,Plasmocytoma,Oral,Any,No,No,No,Extension of indication,NA,41518,42458,-,indication not listed
Endocrine and metabolic diseases,Praluent,alirocumab,Endocrine and metabolic diseases,Dyslipidemia,Parenteral,Any,No,Yes,No,Original,NA,42309,43084,-,indication not listed
Endocrine and metabolic diseases,Qtern,saxagliptin + dapagliflozin,Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,-,42965,-,indication not listed
Cardiovascular,Ranexa,ranolazine,Cardiovascular,Coronary heart diseases,Oral,Any,No,Yes,No,Original,NA,-,42846,-,indication not listed
Endocrine and metabolic diseases,Renvela,sevelamer,Endocrine and metabolic diseases,Mineral disorders,Oral,Any,No,No,No,Original,NA,-,43084,-,indication not listed
Blood Cancer,Revlimid,lenalidomide,Oncology,Lymphoma,Oral,Any,No,Yes,No,Original,NA,-,42601,-,indication not listed
Alzheimer's Disease,"Risperdal, Risperdal Consta, Risperdal Quicklet, risperidone (INN)","risperidone, risperidone, risperidone, risperidone",Central nervous system,Alzheimer's Disease,Oral,Any,No,No,No,Extension of indication,NA,-,42433,-,indication not listed
Endocrine and metabolic diseases,Rosuzet,ezetimibe + rosuvastatin,Endocrine and metabolic diseases,Dyslipidemia,Oral,Any,No,No,No,Original,NA,-,41821,-,indication not listed
Endocrine and metabolic diseases,Rosuzet,ezetimibe + rosuvastatin,Endocrine and metabolic diseases,Dyslipidemia,0,Any,No,No,No,Original,NA,-,41610,-,indication not listed
Lung cancer,Rozlytrek,entrectinib,Oncology,Lung cancer,Oral,Any,Yes,No,Yes,Original,NA,-,43945,-,indication not listed
Endocrine and metabolic diseases,"Ryzodeg FlexTouch, Ryzodeg Penfill","insulin degludec + insulin aspart, insulin degludec + insulin aspart",Endocrine and metabolic diseases,Diabetes,Parenteral,Any,Yes,No,No,Original,NA,-,43084,-,indication not listed
Endocrine and metabolic diseases,Saizen,somatropin,Endocrine and metabolic diseases,Pituitary gland disorders,Parenteral,Any,No,No,No,Original,NA,-,42720,-,indication not listed
Demyelinating disorders,Sativex,cannabinoids,Central nervous system,Demyelinating disorders,0,Any,No,No,No,Original,NA,40725,41456,-,indication not listed
Endocrine and metabolic diseases,"Segluromet, Steglatro","ertugliflozin + metformin, ertugliflozin",Endocrine and metabolic diseases,Diabetes,Oral,Any,Yes,No,No,Original,NA,-,43210,-,indication not listed
